fabric_type,weather,festival,purpose,comfort_level,durability,breathability,sustainability_score,cost_category,weight,moisture_wicking,suitability_score,match_strength
Cotton,summer,Office Event,Sports,9,7,9,8,Low,Light,Yes,8.3,2
Cotton,humid,Holi,Sports,9,7,9,8,Low,Light,Yes,8.3,2
Cotton,autumn,Holi,Party,9,7,9,8,Low,Light,Yes,8.3,2
Cotton,autumn,Pongal,Party,9,7,9,8,Low,Light,Yes,8.3,2
Cotton,summer,Interview,Sports,9,7,9,8,Low,Light,Yes,8.3,2
Cotton,summer,Graduation,Sports,9,7,9,8,Low,Light,Yes,8.3,2
Cotton,humid,Eid,Sports,9,7,9,8,Low,Light,Yes,8.3,2
Cotton,autumn,Navratri,Party,9,7,9,8,Low,Light,Yes,8.3,2
Cotton,autumn,New Year,Office,9,7,9,8,Low,Light,Yes,8.3,2
Cotton,humid,Durga Puja,Sports,9,7,9,8,Low,Light,Yes,8.3,2
Cotton,summer,Casual Outing,Sports,9,7,9,8,Low,Light,Yes,8.3,2
Cotton,humid,Onam,Sports,9,7,9,8,Low,Light,Yes,8.3,2
Cotton,humid,Navratri,Sports,9,7,9,8,Low,Light,Yes,8.3,2
Cotton,humid,,Sports,9,7,9,8,Low,Light,Yes,8.3,2
Cotton,autumn,Diwali,Office,9,7,9,8,Low,Light,Yes,8.3,2
Cotton,autumn,Wedding,Office,9,7,9,8,Low,Light,Yes,8.3,2
Cotton,summer,Durga Puja,Sports,9,7,9,8,Low,Light,Yes,8.3,2
Cotton,humid,Casual Outing,Sports,9,7,9,8,Low,Light,Yes,8.3,2
Cotton,summer,Holi,Sports,9,7,9,8,Low,Light,Yes,8.3,2
Cotton,humid,Office Event,Sports,9,7,9,8,Low,Light,Yes,8.3,2
Cotton,summer,Navratri,Sports,9,7,9,8,Low,Light,Yes,8.3,2
Cotton,humid,Interview,Sports,9,7,9,8,Low,Light,Yes,8.3,2
Cotton,summer,Pongal,Sports,9,7,9,8,Low,Light,Yes,8.3,2
Cotton,summer,Onam,Sports,9,7,9,8,Low,Light,Yes,8.3,2
Cotton,humid,Graduation,Sports,9,7,9,8,Low,Light,Yes,8.3,2
Cotton,autumn,,Party,9,7,9,8,Low,Light,Yes,8.3,2
Cotton,autumn,Graduation,Party,9,7,9,8,Low,Light,Yes,8.3,2
Cotton,autumn,Date Night,Office,9,7,9,8,Low,Light,Yes,8.3,2
Cotton,summer,,Sports,9,7,9,8,Low,Light,Yes,8.3,2
Bamboo,humid,Casual Outing,Outdoor,9,6,9,10,Medium,Light,Yes,8.28,2
Muslin,summer,Onam,Sports,9,5,10,9,Low,Light,No,8.28,2
Cotton,autumn,Date Night,Daily Wear,9,7,9,8,Low,Light,Yes,8.28,2
Muslin,humid,Onam,Sports,9,5,10,9,Low,Light,No,8.28,2
Bamboo,humid,,Outdoor,9,6,9,10,Medium,Light,Yes,8.28,2
Cotton,autumn,Wedding,Daily Wear,9,7,9,8,Low,Light,Yes,8.28,2
Cotton,autumn,Diwali,Daily Wear,9,7,9,8,Low,Light,Yes,8.28,2
Bamboo,rainy,Casual Outing,Daily Wear,9,6,9,10,Medium,Light,Yes,8.28,2
Bamboo,rainy,,Daily Wear,9,6,9,10,Medium,Light,Yes,8.28,2
Cotton,autumn,Christmas,Daily Wear,9,7,9,8,Low,Light,Yes,8.28,2
Bamboo,summer,Casual Outing,Outdoor,9,6,9,10,Medium,Light,Yes,8.28,2
Cotton,autumn,New Year,Daily Wear,9,7,9,8,Low,Light,Yes,8.28,2
Bamboo,summer,,Outdoor,9,6,9,10,Medium,Light,Yes,8.28,2
Linen,summer,,Outdoor,8,6,10,9,Medium,Light,No,8.27,2
Linen,summer,Casual Outing,Outdoor,8,6,10,9,Medium,Light,No,8.27,2
Linen,humid,Office Event,Outdoor,8,6,10,9,Medium,Light,No,8.27,2
Linen,humid,,Outdoor,8,6,10,9,Medium,Light,No,8.27,2
Linen,summer,Office Event,Outdoor,8,6,10,9,Medium,Light,No,8.27,2
Linen,summer,Interview,Outdoor,8,6,10,9,Medium,Light,No,8.27,2
Linen,humid,Casual Outing,Outdoor,8,6,10,9,Medium,Light,No,8.27,2
Linen,humid,Interview,Outdoor,8,6,10,9,Medium,Light,No,8.27,2
Cotton,autumn,Date Night,Travel,9,7,9,8,Low,Light,Yes,8.25,2
Cotton,autumn,Date Night,Ethnic Wear,9,7,9,8,Low,Light,Yes,8.25,2
Khadi,summer,Durga Puja,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,8.25,2
Khadi,summer,Onam,Beach,8,7,8,10,Medium,Medium,Yes,8.25,2
Khadi,autumn,Date Night,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,8.25,2
Cotton,autumn,Date Night,Formal,9,7,9,8,Low,Light,Yes,8.25,2
Khadi,autumn,,Beach,8,7,8,10,Medium,Medium,Yes,8.25,2
Cotton,autumn,Date Night,Beach,9,7,9,8,Low,Light,Yes,8.25,2
Cotton,autumn,Date Night,Yoga/Meditation,9,7,9,8,Low,Light,Yes,8.25,2
Khadi,summer,Wedding,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,8.25,2
Khadi,summer,Pongal,Beach,8,7,8,10,Medium,Medium,Yes,8.25,2
Khadi,autumn,,Formal,8,7,8,10,Medium,Medium,Yes,8.25,2
Khadi,autumn,Graduation,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,8.25,2
Cotton,winter,Onam,Office,9,7,9,8,Low,Light,Yes,8.25,2
Cotton,winter,Holi,Office,9,7,9,8,Low,Light,Yes,8.25,2
Khadi,summer,Pongal,Yoga/Meditation,8,7,8,10,Medium,Medium,Yes,8.25,2
Khadi,autumn,,Yoga/Meditation,8,7,8,10,Medium,Medium,Yes,8.25,2
Cotton,winter,Pongal,Office,9,7,9,8,Low,Light,Yes,8.25,2
Khadi,autumn,Casual Outing,Beach,8,7,8,10,Medium,Medium,Yes,8.25,2
Khadi,autumn,Casual Outing,Yoga/Meditation,8,7,8,10,Medium,Medium,Yes,8.25,2
Khadi,autumn,Casual Outing,Formal,8,7,8,10,Medium,Medium,Yes,8.25,2
Cotton,autumn,New Year,Yoga/Meditation,9,7,9,8,Low,Light,Yes,8.25,2
Cotton,winter,Office Event,Office,9,7,9,8,Low,Light,Yes,8.25,2
Muslin,winter,Onam,Loungewear,9,5,10,9,Low,Light,No,8.25,2
Cotton,winter,Navratri,Office,9,7,9,8,Low,Light,Yes,8.25,2
Khadi,summer,Holi,Yoga/Meditation,8,7,8,10,Medium,Medium,Yes,8.25,2
Khadi,summer,Pongal,Formal,8,7,8,10,Medium,Medium,Yes,8.25,2
Khadi,summer,Onam,Formal,8,7,8,10,Medium,Medium,Yes,8.25,2
Khadi,summer,Holi,Formal,8,7,8,10,Medium,Medium,Yes,8.25,2
Khadi,summer,Navratri,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,8.25,2
Khadi,humid,Casual Outing,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,8.25,2
Khadi,summer,Onam,Yoga/Meditation,8,7,8,10,Medium,Medium,Yes,8.25,2
Cotton,autumn,Wedding,Ethnic Wear,9,7,9,8,Low,Light,Yes,8.25,2
Khadi,autumn,Wedding,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,8.25,2
Cotton,autumn,Diwali,Yoga/Meditation,9,7,9,8,Low,Light,Yes,8.25,2
Khadi,humid,Pongal,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,8.25,2
Khadi,autumn,Eid,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,8.25,2
Khadi,summer,New Year,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,8.25,2
Khadi,summer,Casual Outing,Beach,8,7,8,10,Medium,Medium,Yes,8.25,2
Khadi,humid,Onam,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,8.25,2
Khadi,summer,Casual Outing,Formal,8,7,8,10,Medium,Medium,Yes,8.25,2
Cotton,winter,Eid,Office,9,7,9,8,Low,Light,Yes,8.25,2
Khadi,autumn,Diwali,Beach,8,7,8,10,Medium,Medium,Yes,8.25,2
Khadi,summer,Christmas,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,8.25,2
Khadi,autumn,Diwali,Yoga/Meditation,8,7,8,10,Medium,Medium,Yes,8.25,2
Khadi,humid,,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,8.25,2
Cotton,autumn,Wedding,Beach,9,7,9,8,Low,Light,Yes,8.25,2
Cotton,autumn,Wedding,Formal,9,7,9,8,Low,Light,Yes,8.25,2
Cotton,autumn,Wedding,Travel,9,7,9,8,Low,Light,Yes,8.25,2
Khadi,summer,Holi,Beach,8,7,8,10,Medium,Medium,Yes,8.25,2
Khadi,autumn,Holi,Formal,8,7,8,10,Medium,Medium,Yes,8.25,2
Cotton,autumn,Christmas,Yoga/Meditation,9,7,9,8,Low,Light,Yes,8.25,2
Cotton,autumn,Christmas,Formal,9,7,9,8,Low,Light,Yes,8.25,2
Cotton,autumn,Christmas,Beach,9,7,9,8,Low,Light,Yes,8.25,2
Khadi,autumn,Christmas,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,8.25,2
Khadi,summer,Casual Outing,Yoga/Meditation,8,7,8,10,Medium,Medium,Yes,8.25,2
Khadi,humid,Holi,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,8.25,2
Khadi,autumn,Diwali,Formal,8,7,8,10,Medium,Medium,Yes,8.25,2
Khadi,autumn,Pongal,Formal,8,7,8,10,Medium,Medium,Yes,8.25,2
Khadi,summer,,Yoga/Meditation,8,7,8,10,Medium,Medium,Yes,8.25,2
Khadi,summer,,Beach,8,7,8,10,Medium,Medium,Yes,8.25,2
Khadi,summer,,Formal,8,7,8,10,Medium,Medium,Yes,8.25,2
Khadi,autumn,Holi,Yoga/Meditation,8,7,8,10,Medium,Medium,Yes,8.25,2
Khadi,autumn,Holi,Beach,8,7,8,10,Medium,Medium,Yes,8.25,2
Khadi,summer,Eid,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,8.25,2
Khadi,summer,Office Event,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,8.25,2
Khadi,autumn,Onam,Yoga/Meditation,8,7,8,10,Medium,Medium,Yes,8.25,2
Khadi,humid,Diwali,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,8.25,2
Khadi,summer,Diwali,Beach,8,7,8,10,Medium,Medium,Yes,8.25,2
Khadi,summer,Date Night,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,8.25,2
Khadi,autumn,Onam,Formal,8,7,8,10,Medium,Medium,Yes,8.25,2
Cotton,autumn,Christmas,Ethnic Wear,9,7,9,8,Low,Light,Yes,8.25,2
Cotton,autumn,Christmas,Travel,9,7,9,8,Low,Light,Yes,8.25,2
Khadi,summer,Interview,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,8.25,2
Khadi,autumn,Onam,Beach,8,7,8,10,Medium,Medium,Yes,8.25,2
Khadi,autumn,Pongal,Yoga/Meditation,8,7,8,10,Medium,Medium,Yes,8.25,2
Khadi,summer,Graduation,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,8.25,2
Cotton,autumn,Diwali,Ethnic Wear,9,7,9,8,Low,Light,Yes,8.25,2
Cotton,autumn,Diwali,Beach,9,7,9,8,Low,Light,Yes,8.25,2
Cotton,autumn,Diwali,Formal,9,7,9,8,Low,Light,Yes,8.25,2
Cotton,autumn,Diwali,Travel,9,7,9,8,Low,Light,Yes,8.25,2
Cotton,autumn,Wedding,Yoga/Meditation,9,7,9,8,Low,Light,Yes,8.25,2
Khadi,autumn,Durga Puja,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,8.25,2
Khadi,summer,Diwali,Formal,8,7,8,10,Medium,Medium,Yes,8.25,2
Khadi,autumn,Interview,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,8.25,2
Cotton,winter,Interview,Office,9,7,9,8,Low,Light,Yes,8.25,2
Khadi,autumn,Office Event,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,8.25,2
Cotton,winter,Graduation,Office,9,7,9,8,Low,Light,Yes,8.25,2
Denim,rainy,Holi,Work/Labor,6,9,5,6,Medium,Heavy,No,8.25,3
Khadi,autumn,Pongal,Beach,8,7,8,10,Medium,Medium,Yes,8.25,2
Cotton,autumn,New Year,Travel,9,7,9,8,Low,Light,Yes,8.25,2
Cotton,autumn,New Year,Formal,9,7,9,8,Low,Light,Yes,8.25,2
Cotton,autumn,New Year,Ethnic Wear,9,7,9,8,Low,Light,Yes,8.25,2
Khadi,autumn,New Year,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,8.25,2
Cotton,autumn,New Year,Beach,9,7,9,8,Low,Light,Yes,8.25,2
Denim,rainy,Casual Outing,Work/Labor,6,9,5,6,Medium,Heavy,No,8.25,3
Denim,rainy,,Work/Labor,6,9,5,6,Medium,Heavy,No,8.25,3
Khadi,autumn,Navratri,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,8.25,2
Cotton,winter,Durga Puja,Office,9,7,9,8,Low,Light,Yes,8.25,2
Cotton,winter,,Office,9,7,9,8,Low,Light,Yes,8.25,2
Khadi,summer,Diwali,Yoga/Meditation,8,7,8,10,Medium,Medium,Yes,8.25,2
Cotton,winter,Casual Outing,Office,9,7,9,8,Low,Light,Yes,8.25,2
Cotton,winter,Pongal,Daily Wear,9,7,9,8,Low,Light,Yes,8.23,2
Cotton,winter,Onam,Daily Wear,9,7,9,8,Low,Light,Yes,8.23,2
Cotton,winter,Holi,Daily Wear,9,7,9,8,Low,Light,Yes,8.23,2
Cotton,rainy,Holi,Loungewear,9,7,9,8,Low,Light,Yes,8.23,2
Cotton,winter,Durga Puja,Daily Wear,9,7,9,8,Low,Light,Yes,8.23,2
Cotton,winter,Casual Outing,Daily Wear,9,7,9,8,Low,Light,Yes,8.23,2
Cotton,winter,,Daily Wear,9,7,9,8,Low,Light,Yes,8.23,2
Cotton,rainy,Pongal,Loungewear,9,7,9,8,Low,Light,Yes,8.23,2
Cotton,rainy,Eid,Loungewear,9,7,9,8,Low,Light,Yes,8.23,2
Cotton,winter,Graduation,Daily Wear,9,7,9,8,Low,Light,Yes,8.23,2
Cotton,winter,Eid,Daily Wear,9,7,9,8,Low,Light,Yes,8.23,2
Cotton,winter,Navratri,Daily Wear,9,7,9,8,Low,Light,Yes,8.23,2
Cotton,rainy,Office Event,Loungewear,9,7,9,8,Low,Light,Yes,8.23,2
Cotton,rainy,Interview,Loungewear,9,7,9,8,Low,Light,Yes,8.23,2
Cotton,rainy,Casual Outing,Loungewear,9,7,9,8,Low,Light,Yes,8.23,2
Cotton,rainy,Graduation,Loungewear,9,7,9,8,Low,Light,Yes,8.23,2
Cotton,rainy,Navratri,Loungewear,9,7,9,8,Low,Light,Yes,8.23,2
Cotton,rainy,,Loungewear,9,7,9,8,Low,Light,Yes,8.23,2
Cotton,winter,Office Event,Daily Wear,9,7,9,8,Low,Light,Yes,8.23,2
Cotton,winter,Interview,Daily Wear,9,7,9,8,Low,Light,Yes,8.23,2
Cotton,rainy,Durga Puja,Loungewear,9,7,9,8,Low,Light,Yes,8.23,2
Cotton,rainy,Onam,Loungewear,9,7,9,8,Low,Light,Yes,8.23,2
Khadi,winter,Holi,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,8.22,2
Cotton,summer,Wedding,Outdoor,9,7,9,8,Low,Light,Yes,8.22,2
Cotton,humid,Date Night,Outdoor,9,7,9,8,Low,Light,Yes,8.22,2
Khadi,winter,Pongal,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,8.22,2
Cotton,summer,New Year,Outdoor,9,7,9,8,Low,Light,Yes,8.22,2
Cotton,humid,New Year,Outdoor,9,7,9,8,Low,Light,Yes,8.22,2
Cotton,summer,Date Night,Outdoor,9,7,9,8,Low,Light,Yes,8.22,2
Cotton,humid,Christmas,Outdoor,9,7,9,8,Low,Light,Yes,8.22,2
Khadi,winter,Diwali,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,8.22,2
Cotton,summer,Christmas,Outdoor,9,7,9,8,Low,Light,Yes,8.22,2
Cotton,humid,Wedding,Outdoor,9,7,9,8,Low,Light,Yes,8.22,2
Khadi,rainy,,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,8.22,2
Cotton,humid,Diwali,Outdoor,9,7,9,8,Low,Light,Yes,8.22,2
Khadi,rainy,Casual Outing,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,8.22,2
Khadi,rainy,Onam,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,8.22,2
Khadi,rainy,Pongal,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,8.22,2
Khadi,winter,,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,8.22,2
Khadi,rainy,Holi,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,8.22,2
Khadi,rainy,Diwali,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,8.22,2
Cotton,summer,Diwali,Outdoor,9,7,9,8,Low,Light,Yes,8.22,2
Khadi,winter,Casual Outing,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,8.22,2
Khadi,winter,Onam,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,8.22,2
Bamboo,summer,Casual Outing,Work/Labor,9,6,9,10,Medium,Light,Yes,8.2,2
Khadi,autumn,Eid,Daily Wear,8,7,8,10,Medium,Medium,Yes,8.2,2
Cotton,winter,Casual Outing,Ethnic Wear,9,7,9,8,Low,Light,Yes,8.2,2
Cotton,winter,Casual Outing,Formal,9,7,9,8,Low,Light,Yes,8.2,2
Khadi,summer,Christmas,Daily Wear,8,7,8,10,Medium,Medium,Yes,8.2,2
Cotton,winter,Office Event,Travel,9,7,9,8,Low,Light,Yes,8.2,2
Cotton,winter,Casual Outing,Beach,9,7,9,8,Low,Light,Yes,8.2,2
Cotton,winter,Casual Outing,Yoga/Meditation,9,7,9,8,Low,Light,Yes,8.2,2
Cotton,winter,Eid,Yoga/Meditation,9,7,9,8,Low,Light,Yes,8.2,2
Khadi,summer,Eid,Daily Wear,8,7,8,10,Medium,Medium,Yes,8.2,2
Khadi,autumn,Navratri,Daily Wear,8,7,8,10,Medium,Medium,Yes,8.2,2
Khadi,autumn,New Year,Daily Wear,8,7,8,10,Medium,Medium,Yes,8.2,2
Cotton,winter,,Beach,9,7,9,8,Low,Light,Yes,8.2,2
Cotton,winter,,Yoga/Meditation,9,7,9,8,Low,Light,Yes,8.2,2
Linen,autumn,Office Event,Formal,8,6,10,9,Medium,Light,No,8.2,2
Linen,autumn,Office Event,Beach,8,6,10,9,Medium,Light,No,8.2,2
Khadi,autumn,Interview,Daily Wear,8,7,8,10,Medium,Medium,Yes,8.2,2
Khadi,autumn,Diwali,Loungewear,8,7,8,10,Medium,Medium,Yes,8.2,2
Khadi,summer,Diwali,Loungewear,8,7,8,10,Medium,Medium,Yes,8.2,2
Khadi,autumn,Christmas,Daily Wear,8,7,8,10,Medium,Medium,Yes,8.2,2
Cotton,winter,Holi,Travel,9,7,9,8,Low,Light,Yes,8.2,2
Khadi,summer,New Year,Daily Wear,8,7,8,10,Medium,Medium,Yes,8.2,2
Khadi,summer,Graduation,Daily Wear,8,7,8,10,Medium,Medium,Yes,8.2,2
Khadi,humid,Casual Outing,Daily Wear,8,7,8,10,Medium,Medium,Yes,8.2,2
Cotton,winter,Pongal,Formal,9,7,9,8,Low,Light,Yes,8.2,2
Cotton,winter,Pongal,Beach,9,7,9,8,Low,Light,Yes,8.2,2
Cotton,winter,Pongal,Yoga/Meditation,9,7,9,8,Low,Light,Yes,8.2,2
Cotton,winter,Holi,Yoga/Meditation,9,7,9,8,Low,Light,Yes,8.2,2
Cotton,winter,Eid,Travel,9,7,9,8,Low,Light,Yes,8.2,2
Cotton,winter,Eid,Ethnic Wear,9,7,9,8,Low,Light,Yes,8.2,2
Cotton,winter,Eid,Formal,9,7,9,8,Low,Light,Yes,8.2,2
Cotton,winter,Eid,Beach,9,7,9,8,Low,Light,Yes,8.2,2
Bamboo,humid,,Work/Labor,9,6,9,10,Medium,Light,Yes,8.2,2
Cotton,winter,Casual Outing,Travel,9,7,9,8,Low,Light,Yes,8.2,2
Khadi,autumn,Wedding,Daily Wear,8,7,8,10,Medium,Medium,Yes,8.2,2
Cotton,winter,Office Event,Ethnic Wear,9,7,9,8,Low,Light,Yes,8.2,2
Cotton,winter,Office Event,Formal,9,7,9,8,Low,Light,Yes,8.2,2
Cotton,winter,Onam,Beach,9,7,9,8,Low,Light,Yes,8.2,2
Cotton,winter,Onam,Yoga/Meditation,9,7,9,8,Low,Light,Yes,8.2,2
Cotton,winter,Graduation,Formal,9,7,9,8,Low,Light,Yes,8.2,2
Cotton,winter,Graduation,Beach,9,7,9,8,Low,Light,Yes,8.2,2
Cotton,winter,Graduation,Yoga/Meditation,9,7,9,8,Low,Light,Yes,8.2,2
Khadi,autumn,Onam,Loungewear,8,7,8,10,Medium,Medium,Yes,8.2,2
Khadi,autumn,Durga Puja,Daily Wear,8,7,8,10,Medium,Medium,Yes,8.2,2
Linen,autumn,Interview,Formal,8,6,10,9,Medium,Light,No,8.2,2
Khadi,autumn,Graduation,Daily Wear,8,7,8,10,Medium,Medium,Yes,8.2,2
Cotton,winter,Interview,Travel,9,7,9,8,Low,Light,Yes,8.2,2
Linen,autumn,Casual Outing,Beach,8,6,10,9,Medium,Light,No,8.2,2
Khadi,autumn,Office Event,Daily Wear,8,7,8,10,Medium,Medium,Yes,8.2,2
Khadi,humid,,Daily Wear,8,7,8,10,Medium,Medium,Yes,8.2,2
Khadi,summer,Holi,Loungewear,8,7,8,10,Medium,Medium,Yes,8.2,2
Linen,autumn,Interview,Beach,8,6,10,9,Medium,Light,No,8.2,2
Cotton,winter,Interview,Ethnic Wear,9,7,9,8,Low,Light,Yes,8.2,2
Cotton,winter,Interview,Formal,9,7,9,8,Low,Light,Yes,8.2,2
Cotton,winter,Office Event,Beach,9,7,9,8,Low,Light,Yes,8.2,2
Cotton,winter,Office Event,Yoga/Meditation,9,7,9,8,Low,Light,Yes,8.2,2
Khadi,autumn,Holi,Loungewear,8,7,8,10,Medium,Medium,Yes,8.2,2
Cotton,winter,Onam,Travel,9,7,9,8,Low,Light,Yes,8.2,2
Khadi,summer,Durga Puja,Daily Wear,8,7,8,10,Medium,Medium,Yes,8.2,2
Cotton,winter,Onam,Ethnic Wear,9,7,9,8,Low,Light,Yes,8.2,2
Linen,autumn,,Beach,8,6,10,9,Medium,Light,No,8.2,2
Khadi,humid,Diwali,Daily Wear,8,7,8,10,Medium,Medium,Yes,8.2,2
Bamboo,humid,Casual Outing,Work/Labor,9,6,9,10,Medium,Light,Yes,8.2,2
Khadi,summer,Navratri,Daily Wear,8,7,8,10,Medium,Medium,Yes,8.2,2
Khadi,summer,Date Night,Daily Wear,8,7,8,10,Medium,Medium,Yes,8.2,2
Khadi,autumn,Date Night,Daily Wear,8,7,8,10,Medium,Medium,Yes,8.2,2
Cotton,winter,Navratri,Ethnic Wear,9,7,9,8,Low,Light,Yes,8.2,2
Cotton,winter,Navratri,Formal,9,7,9,8,Low,Light,Yes,8.2,2
Cotton,winter,Navratri,Beach,9,7,9,8,Low,Light,Yes,8.2,2
Cotton,winter,Navratri,Yoga/Meditation,9,7,9,8,Low,Light,Yes,8.2,2
Cotton,winter,Graduation,Travel,9,7,9,8,Low,Light,Yes,8.2,2
Linen,autumn,Casual Outing,Formal,8,6,10,9,Medium,Light,No,8.2,2
Cotton,winter,Onam,Formal,9,7,9,8,Low,Light,Yes,8.2,2
Bamboo,autumn,Casual Outing,Sports,9,6,9,10,Medium,Light,Yes,8.2,2
Khadi,autumn,Casual Outing,Loungewear,8,7,8,10,Medium,Medium,Yes,8.2,2
Khadi,autumn,Pongal,Loungewear,8,7,8,10,Medium,Medium,Yes,8.2,2
Cotton,winter,Durga Puja,Travel,9,7,9,8,Low,Light,Yes,8.2,2
Khadi,summer,Pongal,Loungewear,8,7,8,10,Medium,Medium,Yes,8.2,2
Cotton,winter,Durga Puja,Formal,9,7,9,8,Low,Light,Yes,8.2,2
Cotton,winter,Durga Puja,Beach,9,7,9,8,Low,Light,Yes,8.2,2
Cotton,winter,Durga Puja,Yoga/Meditation,9,7,9,8,Low,Light,Yes,8.2,2
Khadi,summer,Onam,Loungewear,8,7,8,10,Medium,Medium,Yes,8.2,2
Cotton,winter,Navratri,Travel,9,7,9,8,Low,Light,Yes,8.2,2
Cotton,winter,Graduation,Ethnic Wear,9,7,9,8,Low,Light,Yes,8.2,2
Cotton,winter,Interview,Beach,9,7,9,8,Low,Light,Yes,8.2,2
Cotton,winter,Interview,Yoga/Meditation,9,7,9,8,Low,Light,Yes,8.2,2
Cotton,winter,Durga Puja,Ethnic Wear,9,7,9,8,Low,Light,Yes,8.2,2
Bamboo,autumn,,Sports,9,6,9,10,Medium,Light,Yes,8.2,2
Cotton,winter,Holi,Ethnic Wear,9,7,9,8,Low,Light,Yes,8.2,2
Cotton,winter,Holi,Formal,9,7,9,8,Low,Light,Yes,8.2,2
Cotton,winter,Holi,Beach,9,7,9,8,Low,Light,Yes,8.2,2
Khadi,summer,Office Event,Daily Wear,8,7,8,10,Medium,Medium,Yes,8.2,2
Khadi,humid,Pongal,Daily Wear,8,7,8,10,Medium,Medium,Yes,8.2,2
Khadi,summer,Casual Outing,Loungewear,8,7,8,10,Medium,Medium,Yes,8.2,2
Cotton,winter,Pongal,Travel,9,7,9,8,Low,Light,Yes,8.2,2
Cotton,winter,,Travel,9,7,9,8,Low,Light,Yes,8.2,2
Khadi,summer,,Loungewear,8,7,8,10,Medium,Medium,Yes,8.2,2
Khadi,summer,Wedding,Daily Wear,8,7,8,10,Medium,Medium,Yes,8.2,2
Khadi,autumn,,Loungewear,8,7,8,10,Medium,Medium,Yes,8.2,2
Khadi,humid,Holi,Daily Wear,8,7,8,10,Medium,Medium,Yes,8.2,2
Khadi,summer,Interview,Daily Wear,8,7,8,10,Medium,Medium,Yes,8.2,2
Cotton,winter,Pongal,Ethnic Wear,9,7,9,8,Low,Light,Yes,8.2,2
Bamboo,summer,,Work/Labor,9,6,9,10,Medium,Light,Yes,8.2,2
Cotton,winter,,Ethnic Wear,9,7,9,8,Low,Light,Yes,8.2,2
Cotton,winter,,Formal,9,7,9,8,Low,Light,Yes,8.2,2
Khadi,humid,Onam,Daily Wear,8,7,8,10,Medium,Medium,Yes,8.2,2
Linen,autumn,,Formal,8,6,10,9,Medium,Light,No,8.2,2
Cotton,summer,Wedding,Work/Labor,9,7,9,8,Low,Light,Yes,8.18,2
Cotton,autumn,,Sports,9,7,9,8,Low,Light,Yes,8.18,2
Khadi,winter,,Daily Wear,8,7,8,10,Medium,Medium,Yes,8.18,2
Cotton,autumn,Casual Outing,Sports,9,7,9,8,Low,Light,Yes,8.18,2
Cotton,autumn,Pongal,Sports,9,7,9,8,Low,Light,Yes,8.18,2
Linen,autumn,,Daily Wear,8,6,10,9,Medium,Light,No,8.18,2
Khadi,winter,Diwali,Daily Wear,8,7,8,10,Medium,Medium,Yes,8.18,2
Khadi,rainy,Holi,Daily Wear,8,7,8,10,Medium,Medium,Yes,8.18,2
Cotton,autumn,Interview,Sports,9,7,9,8,Low,Light,Yes,8.18,2
Cotton,autumn,Onam,Sports,9,7,9,8,Low,Light,Yes,8.18,2
Khadi,rainy,Casual Outing,Daily Wear,8,7,8,10,Medium,Medium,Yes,8.18,2
Cotton,humid,New Year,Work/Labor,9,7,9,8,Low,Light,Yes,8.18,2
Cotton,humid,Diwali,Work/Labor,9,7,9,8,Low,Light,Yes,8.18,2
Khadi,winter,Onam,Daily Wear,8,7,8,10,Medium,Medium,Yes,8.18,2
Cotton,autumn,Office Event,Sports,9,7,9,8,Low,Light,Yes,8.18,2
